phase,context_length,component,metric,median,iqr,n_reps
prefill,1024,layer_17,ms_per_token,0.19110817333984187,0.002604722900400702,20
prefill,1024,layer_18,ms_per_token,0.19121213720700325,0.0030534331053786445,20
prefill,1024,layer_19,ms_per_token,0.19367032568351306,0.0041995256347320264,20
prefill,1024,layer_20,ms_per_token,0.19272378222666475,0.0028313586425952053,20
prefill,1024,layer_21,ms_per_token,0.19132580761726103,0.0033364218751046337,20
prefill,1024,layer_22,ms_per_token,0.19171626171868184,0.0044396865234261895,20
prefill,1024,layer_23,ms_per_token,0.19161767382814787,0.003548269775336621,20
prefill,1024,layer_24,ms_per_token,0.19063388330079079,0.0033040815429501436,20
prefill,1024,layer_25,ms_per_token,0.19118031005854164,0.0040831484375019045,20
prefill,1024,layer_26,ms_per_token,0.1911665087890242,0.0034764279786259067,20
prefill,1024,layer_27,ms_per_token,0.19050162841790552,0.004072971679647708,20
prefill,1024,embed_tokens,ms_total_seq,0.8405979999806732,0.040001749905059114,20
prefill,1024,lm_head,ms_total_seq,1350.3599585000775,10.825296000082744,20
prefill,1024,TOTAL_WALL,ms_total_seq,6877.10024400003,100.64239200000884,20
decode,1024,layer_0,ms_per_layer,7.6084465000312775,0.11848674999782816,20
decode,1024,layer_1,ms_per_layer,7.330173000053037,0.20757699987734668,20
decode,1024,layer_2,ms_per_layer,7.368971999967471,0.15704049987834878,20
decode,1024,layer_3,ms_per_layer,7.178540499939118,0.27997950004646555,20
decode,1024,layer_4,ms_per_layer,7.298200999968685,0.3362055000034161,20
decode,1024,layer_5,ms_per_layer,6.937219500076026,0.19331675002467819,20
decode,1024,layer_6,ms_per_layer,6.723121000046376,0.17359625006793067,20
decode,1024,layer_7,ms_per_layer,7.252227999968454,0.19678575004218146,20
decode,1024,layer_8,ms_per_layer,6.880881000019144,0.17002699998556636,20
decode,1024,layer_9,ms_per_layer,6.732136999955401,0.1929364999232348,20
decode,1024,layer_10,ms_per_layer,7.287482499959879,0.18075274987495504,20
decode,1024,layer_11,ms_per_layer,7.195356500102207,0.20758850008132868,20
decode,1024,layer_12,ms_per_layer,6.990311000088695,0.2285510000656359,20
decode,1024,layer_13,ms_per_layer,6.469367999990936,0.23107975005405024,20
decode,1024,layer_14,ms_per_layer,6.708062999940012,0.2575077499204781,20
decode,1024,layer_15,ms_per_layer,6.501468000060413,0.251461499981815,20
decode,1024,layer_16,ms_per_layer,7.042102999985218,0.26452924995101057,20
decode,1024,layer_17,ms_per_layer,7.178148500039242,0.14858750000712462,20
decode,1024,layer_18,ms_per_layer,7.310839000041597,0.2204077501082793,20
decode,1024,layer_19,ms_per_layer,7.5163060001214035,0.21894575000624172,20
decode,1024,layer_20,ms_per_layer,7.516586499928962,0.2465374999155756,20
decode,1024,layer_21,ms_per_layer,7.399224999942817,0.21745075003127567,20
decode,1024,layer_22,ms_per_layer,7.3864145000698045,0.19371299998601899,20
decode,1024,layer_23,ms_per_layer,7.173100000014529,0.10476475008181296,20
decode,1024,layer_24,ms_per_layer,6.934476999973413,0.1435527497669682,20
decode,1024,layer_25,ms_per_layer,6.683862999896519,0.1182705000101123,20
decode,1024,layer_26,ms_per_layer,6.818174500076566,0.19637774996226653,20
decode,1024,layer_27,ms_per_layer,13.41367999999784,0.3761387500271667,20
decode,1024,embed_tokens,ms_per_token,0.08215899998322129,0.005130999954417348,20
decode,1024,lm_head,ms_per_token,36.86658949998673,0.5904895000567194,20
decode,1024,TOTAL_WALL,ms_per_token,245.11337550001917,4.014569749851944,20
kv_cache,1024,per_layer,bytes_per_token,8192.0,0,1
kv_cache,1024,all_layers,bytes_per_token,229376.0,0,1
kv_cache,1024,all_layers,bytes_total_measured,234881024,0,1
prefill,2048,layer_0,ms_per_token,0.21069166772457493,0.001568632568350381,20
prefill,2048,layer_1,ms_per_token,0.21101726660151598,0.00574504772943385,20
prefill,2048,layer_2,ms_per_token,0.2101994179687381,0.0027734460448272102,20
prefill,2048,layer_3,ms_per_token,0.21062753540036283,0.003518328857438746,20
prefill,2048,layer_4,ms_per_token,0.21024881884761726,0.0037778416747755728,20
prefill,2048,layer_5,ms_per_token,0.21130386718749605,0.004966118896504668,20
prefill,2048,layer_6,ms_per_token,0.2097422468261243,0.003304786132815707,20
prefill,2048,layer_7,ms_per_token,0.2099680563965194,0.004480024414149852,20
prefill,2048,layer_8,ms_per_token,0.21026089501950196,0.003110783203084111,20
prefill,2048,layer_9,ms_per_token,0.21061627124024085,0.0033921180419582697,20
prefill,2048,layer_10,ms_per_token,0.20952789868164245,0.0029646025390377417,20
prefill,2048,layer_11,ms_per_token,0.20964306811515598,0.0019855577393173007,20
prefill,2048,layer_12,ms_per_token,0.21006939965815263,0.004462092163123543,20
prefill,2048,layer_13,ms_per_token,0.2099148959960928,0.0040102236328039,20
prefill,2048,layer_14,ms_per_token,0.20881472924804712,0.003933976196293543,20
prefill,2048,layer_15,ms_per_token,0.2102421672363164,0.002516019653299395,20
prefill,2048,layer_16,ms_per_token,0.2100939147949532,0.0036917822264825872,20
prefill,2048,layer_17,ms_per_token,0.21156793969728938,0.0024981361084712717,20
prefill,2048,layer_18,ms_per_token,0.21022748388679702,0.004994564697270221,20
prefill,2048,layer_19,ms_per_token,0.21051694824217293,0.003564127685621088,20
prefill,2048,layer_20,ms_per_token,0.20959904931638107,0.0014014149170691326,20
prefill,2048,layer_21,ms_per_token,0.2116079260253798,0.0024692731933697587,20
prefill,2048,layer_22,ms_per_token,0.21115027612307813,0.0016457047118194623,20
prefill,2048,layer_23,ms_per_token,0.21043312133784298,0.0020046730957545833,20
prefill,2048,layer_24,ms_per_token,0.20967382373044074,0.004431322997945131,20
prefill,2048,layer_25,ms_per_token,0.20989059399417442,0.0022606464843022422,20
prefill,2048,layer_26,ms_per_token,0.21046298828130716,0.0035804888916146638,20
prefill,2048,layer_27,ms_per_token,0.2112388178711342,0.004548967529331094,20
prefill,2048,embed_tokens,ms_total_seq,1.3642394999042153,0.02857174986274913,20
prefill,2048,lm_head,ms_total_seq,2473.2099804999307,19.03712425008416,20
prefill,2048,TOTAL_WALL,ms_total_seq,14574.469750999939,123.34197049989598,20
